scenario_id,system_type,run_id,random_seed,t_start_sec,t_end_sec,t_execution_sec,tasks_completed,cpu_mean_pct,cpu_min_pct,cpu_max_pct,cpu_std_pct,mem_mean_pct,mem_min_pct,mem_max_pct,mem_std_pct,total_core_seconds,efficiency_tasks_per_core_sec,adaptation_overhead_sec,adaptation_events_count,s3_detection_delay_sec,s3_adaptation_initiation_sec,s3_stabilization_time_sec,param_alpha,param_beta,param_gamma,param_initial_cores
S1,BASELINE,30,1030,0,58,58,1509,14.9,7.71,21.83,3.24,11.61,10.87,12.2,0.32,232,650.431,0,0,,,,0.45,0.35,0.2,4
S1,SAMCS,30,1030,0,66.37,66.37,1509,6.07,5,14.73,2.04,11.61,10.87,12.2,0.32,808,186.7574,8.37,6,,,,0.45,0.35,0.2,4
S2,BASELINE,1,1001,0,60,60,4505,42.9,31.38,58.57,5.81,19.55,18.59,20.17,0.31,240,1877.0833,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,1,1001,0,69,69,4505,14.15,6.54,39.42,6.63,19.55,18.59,20.17,0.31,840,536.3095,9,8,,,,0.45,0.35,0.2,4
S2,BASELINE,2,1002,0,60,60,4549,42.82,23.31,53.78,4.99,19.56,18.92,20.2,0.32,240,1895.4167,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,2,1002,0,69,69,4549,13.84,5,40,6.53,19.56,18.92,20.2,0.32,840,541.5476,9,8,,,,0.45,0.35,0.2,4
S2,BASELINE,3,1003,0,60,60,4531,43.31,30.1,57.98,6.19,19.64,18.93,20.27,0.29,240,1887.9167,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,3,1003,0,69,69,4531,14.47,5.26,42.96,6.72,19.64,18.93,20.27,0.29,840,539.4048,9,8,,,,0.45,0.35,0.2,4
S2,BASELINE,4,1004,0,61,61,4567,43.23,32.14,59.29,5.51,19.5,18.58,20.23,0.35,244,1871.7213,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,4,1004,0,70.015,70.015,4567,14.52,6.71,38.93,6.2,19.5,18.58,20.23,0.35,856,533.528,9.015,8,,,,0.45,0.35,0.2,4
S2,BASELINE,5,1005,0,62,62,4580,42.57,32.15,57.55,5.3,19.55,18.72,20.19,0.3,248,1846.7742,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,5,1005,0,71.03,71.03,4580,14.19,7.85,39.5,6.21,19.55,18.72,20.19,0.3,872,525.2294,9.03,8,,,,0.45,0.35,0.2,4
S2,BASELINE,6,1006,0,60,60,4533,42.86,30.53,58.41,5.37,19.53,18.72,20.4,0.34,240,1888.75,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,6,1006,0,69,69,4533,14.12,5,42.58,7.29,19.53,18.72,20.4,0.34,840,539.6429,9,8,,,,0.45,0.35,0.2,4
S2,BASELINE,7,1007,0,61,61,4544,42.46,25.35,58.19,5.26,19.5,18.9,20.14,0.31,244,1862.2951,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,7,1007,0,70.015,70.015,4544,13.73,5.87,34.41,5.57,19.5,18.9,20.14,0.31,856,530.8411,9.015,8,,,,0.45,0.35,0.2,4
S2,BASELINE,8,1008,0,59,59,4539,44.68,28.88,57.72,6.09,19.55,18.86,20.34,0.3,236,1923.3051,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,8,1008,0,67.985,67.985,4539,15.36,6.99,44.65,7.21,19.55,18.86,20.34,0.3,824,550.8495,8.985,8,,,,0.45,0.35,0.2,4
S2,BASELINE,9,1009,0,60,60,4509,43.2,30.1,56.98,5.78,19.58,18.74,20.16,0.28,240,1878.75,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,9,1009,0,69,69,4509,14.44,5.67,40.1,6.21,19.58,18.74,20.16,0.28,840,536.7857,9,8,,,,0.45,0.35,0.2,4
S2,BASELINE,10,1010,0,59,59,4521,43.65,30.71,54.68,5.02,19.53,18.58,20.2,0.33,236,1915.678,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,10,1010,0,67.985,67.985,4521,14.49,6.69,40.39,6.95,19.53,18.58,20.2,0.33,824,548.665,8.985,8,,,,0.45,0.35,0.2,4
S2,BASELINE,11,1011,0,61,61,4500,42.23,31.39,52.71,5.12,19.6,19.01,20.38,0.32,244,1844.2623,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,11,1011,0,70.015,70.015,4500,14.16,5.5,42.44,7.48,19.6,19.01,20.38,0.32,856,525.7009,9.015,8,,,,0.45,0.35,0.2,4
S2,BASELINE,12,1012,0,60,60,4546,43.13,30.09,55.87,5.51,19.58,18.99,20.2,0.29,240,1894.1667,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,12,1012,0,69,69,4546,14.14,5.22,36.92,6.5,19.58,18.99,20.2,0.29,840,541.1905,9,8,,,,0.45,0.35,0.2,4
S2,BASELINE,13,1013,0,60,60,4533,43.37,29.9,57.18,5.59,19.55,18.67,20.05,0.29,240,1888.75,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,13,1013,0,69,69,4533,14.51,5.22,42.8,6.92,19.55,18.67,20.05,0.29,840,539.6429,9,8,,,,0.45,0.35,0.2,4
S2,BASELINE,14,1014,0,61,61,4529,42.91,31.19,52.12,4.63,19.52,18.74,20.2,0.31,244,1856.1475,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,14,1014,0,70.015,70.015,4529,14.6,8.84,47.08,6.62,19.52,18.74,20.2,0.31,856,529.0888,9.015,8,,,,0.45,0.35,0.2,4
S2,BASELINE,15,1015,0,59,59,4533,44.1,33.21,62.9,5.77,19.53,18.87,20.02,0.3,236,1920.7627,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,15,1015,0,67.985,67.985,4533,14.76,6.13,45.74,6.65,19.53,18.87,20.02,0.3,824,550.1214,8.985,8,,,,0.45,0.35,0.2,4
S2,BASELINE,16,1016,0,62,62,4521,41.54,30.04,54.36,4.97,19.5,18.7,20.31,0.33,248,1822.9839,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,16,1016,0,71.03,71.03,4521,13.65,5,39.05,6.23,19.5,18.7,20.31,0.33,872,518.4633,9.03,8,,,,0.45,0.35,0.2,4
S2,BASELINE,17,1017,0,61,61,4522,42.08,32.03,54.78,5.31,19.56,19.02,20.49,0.29,244,1853.2787,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,17,1017,0,70.015,70.015,4522,14.03,6.22,54.78,8.19,19.56,19.02,20.49,0.29,856,528.271,9.015,8,,,,0.45,0.35,0.2,4
S2,BASELINE,18,1018,0,61,61,4540,42.83,30.31,58.75,5.3,19.59,18.9,20.3,0.27,244,1860.6557,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,18,1018,0,70.015,70.015,4540,14.32,6.32,36.58,6.41,19.59,18.9,20.3,0.27,856,530.3738,9.015,8,,,,0.45,0.35,0.2,4
S2,BASELINE,19,1019,0,61,61,4546,42.82,31.38,63.03,5.94,19.55,18.84,20.1,0.28,244,1863.1148,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,19,1019,0,70.015,70.015,4546,14.21,5.56,43.17,6.7,19.55,18.84,20.1,0.28,856,531.0748,9.015,8,,,,0.45,0.35,0.2,4
S2,BASELINE,20,1020,0,59,59,4505,43.45,32.72,53.27,5.28,19.59,18.87,20.61,0.33,236,1908.8983,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,20,1020,0,67.985,67.985,4505,14.3,5,47.52,6.87,19.59,18.87,20.61,0.33,824,546.7233,8.985,8,,,,0.45,0.35,0.2,4
S2,BASELINE,21,1021,0,60,60,4526,42.85,28.89,53.58,4.96,19.57,18.61,20.17,0.37,240,1885.8333,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,21,1021,0,69,69,4526,13.99,7.22,46.63,6.96,19.57,18.61,20.17,0.37,840,538.8095,9,8,,,,0.45,0.35,0.2,4
S2,BASELINE,22,1022,0,62,62,4575,42.27,27.51,57.91,6.24,19.54,18.74,20.19,0.3,248,1844.7581,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,22,1022,0,71.03,71.03,4575,14,5,42.33,6.6,19.54,18.74,20.19,0.3,872,524.656,9.03,8,,,,0.45,0.35,0.2,4
S2,BASELINE,23,1023,0,61,61,4540,42.52,31.71,52.93,4.86,19.57,18.9,20.09,0.3,244,1860.6557,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,23,1023,0,70.015,70.015,4540,13.92,6.7,34.96,5.81,19.57,18.9,20.09,0.3,856,530.3738,9.015,8,,,,0.45,0.35,0.2,4
S2,BASELINE,24,1024,0,59,59,4507,43.37,33.99,55.94,4.79,19.62,19.14,20.16,0.25,236,1909.7458,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,24,1024,0,67.985,67.985,4507,14.18,5,36.22,6.31,19.62,19.14,20.16,0.25,824,546.966,8.985,8,,,,0.45,0.35,0.2,4
S2,BASELINE,25,1025,0,61,61,4564,42.99,33.68,56.63,5.31,19.56,18.8,20.37,0.3,244,1870.4918,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,25,1025,0,70.015,70.015,4564,14.45,7.04,40.27,6.9,19.56,18.8,20.37,0.3,856,533.1776,9.015,8,,,,0.45,0.35,0.2,4
S2,BASELINE,26,1026,0,61,61,4576,43.08,34.91,58.27,4.95,19.51,19,20.38,0.27,244,1875.4098,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,26,1026,0,70.015,70.015,4576,14.3,5,39.17,6.38,19.51,19,20.38,0.27,856,534.5794,9.015,8,,,,0.45,0.35,0.2,4
S2,BASELINE,27,1027,0,61,61,4545,42.5,31.78,57.61,5.81,19.53,18.97,20.29,0.3,244,1862.7049,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,27,1027,0,70.015,70.015,4545,14.06,5.98,52,7.5,19.53,18.97,20.29,0.3,856,530.9579,9.015,8,,,,0.45,0.35,0.2,4
S2,BASELINE,28,1028,0,62,62,4520,41.6,28.19,55.5,5.29,19.54,18.94,20.22,0.31,248,1822.5806,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,28,1028,0,71.03,71.03,4520,13.64,5.22,39.02,6.2,19.54,18.94,20.22,0.31,872,518.3486,9.03,8,,,,0.45,0.35,0.2,4
S2,BASELINE,29,1029,0,61,61,4516,41.98,30.29,53.21,5.69,19.59,19.16,20.26,0.26,244,1850.8197,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,29,1029,0,70.015,70.015,4516,13.76,5.28,39.19,7.09,19.59,19.16,20.26,0.26,856,527.5701,9.015,8,,,,0.45,0.35,0.2,4
S2,BASELINE,30,1030,0,61,61,4552,42.15,31.34,52.73,4.31,19.52,18.94,20.33,0.3,244,1865.5738,0,0,,,,0.45,0.35,0.2,4
S2,SAMCS,30,1030,0,70.015,70.015,4552,13.58,6.64,45.39,6.71,19.52,18.94,20.33,0.3,856,531.7757,9.015,8,,,,0.45,0.35,0.2,4
S3,BASELINE,1,1001,0,81,81,4013,27.94,5.48,57.92,14.18,15.61,11.07,20.98,3.5,324,1238.5802,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,1,1001,0,90.315,90.315,4013,8.16,5,16.73,3.34,15.61,11.07,20.98,3.5,1176,341.2415,9.315,8,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,2,1002,0,81,81,4001,28.38,6.28,58.32,14.81,15.56,11.02,20.9,3.52,324,1234.8765,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,2,1002,0,90.315,90.315,4001,8.37,5,18.33,3.53,15.56,11.02,20.9,3.52,1176,340.2211,9.315,8,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,3,1003,0,80,80,4009,28.59,7.18,57.67,15.72,15.53,11.07,21.25,3.53,320,1252.8125,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,3,1003,0,89.3,89.3,4009,8.47,5,16.43,3.54,15.53,11.07,21.25,3.53,1160,345.6034,9.3,8,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,4,1004,0,80,80,4008,28.52,6.42,59.77,15.05,15.49,11.05,20.92,3.5,320,1252.5,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,4,1004,0,89.3,89.3,4008,8.29,5,17.43,3.34,15.49,11.05,20.92,3.5,1160,345.5172,9.3,8,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,5,1005,0,82,82,4067,28.78,7.15,56.5,14.53,15.68,10.99,21.14,3.58,328,1239.939,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,5,1005,0,91.33,91.33,4067,8.84,5,16.96,3.5,15.68,10.99,21.14,3.58,1192,341.1913,9.33,8,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,6,1006,0,80,80,4016,28.61,5.05,57.68,14.85,15.56,10.59,20.82,3.5,320,1255,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,6,1006,0,89.3,89.3,4016,8.33,5,16.42,3.44,15.56,10.59,20.82,3.5,1160,346.2069,9.3,8,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,7,1007,0,81,81,4074,28.74,6.9,58.84,15.51,15.52,10.98,21.17,3.56,324,1257.4074,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,7,1007,0,90.315,90.315,4074,8.59,5,17.58,3.78,15.52,10.98,21.17,3.56,1176,346.4286,9.315,8,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,8,1008,0,80,80,4069,28.95,5,60.39,15.5,15.53,10.91,21.13,3.47,320,1271.5625,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,8,1008,0,89.3,89.3,4069,8.4,5,16.29,3.38,15.53,10.91,21.13,3.47,1160,350.7759,9.3,8,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,9,1009,0,81,81,4020,28.52,5.8,56.38,14.72,15.6,11.06,20.95,3.53,324,1240.7407,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,9,1009,0,90.315,90.315,4020,8.48,5,16.3,3.53,15.6,11.06,20.95,3.53,1176,341.8367,9.315,8,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,10,1010,0,80,80,4009,29.25,7.69,57.1,15.34,15.5,11.1,20.77,3.47,320,1252.8125,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,10,1010,0,89.3,89.3,4009,9.03,5,19.18,3.82,15.5,11.1,20.77,3.47,1160,345.6034,9.3,8,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,11,1011,0,80,80,4010,28.67,7.88,57.92,14.84,15.51,10.87,21.03,3.49,320,1253.125,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,11,1011,0,89.3,89.3,4010,8.57,5,17.64,3.6,15.51,10.87,21.03,3.49,1160,345.6897,9.3,8,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,12,1012,0,81,81,4081,28.53,5,56.55,15,15.63,11.01,20.98,3.52,324,1259.5679,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,12,1012,0,90.315,90.315,4081,8.38,5,17.41,3.57,15.63,11.01,20.98,3.52,1176,347.0238,9.315,8,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,13,1013,0,80,80,4022,28.7,6.78,56.88,14.96,15.46,10.74,20.88,3.53,320,1256.875,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,13,1013,0,89.3,89.3,4022,8.48,5,16.04,3.34,15.46,10.74,20.88,3.53,1160,346.7241,9.3,8,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,14,1014,0,80,80,4000,28.99,9.71,56.28,14.52,15.5,11,20.98,3.41,320,1250,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,14,1014,0,89.3,89.3,4000,8.69,5,17.76,3.55,15.5,11,20.98,3.41,1160,344.8276,9.3,8,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,15,1015,0,79,79,4001,29.02,5,64.31,15.87,15.49,11.15,21,3.48,316,1266.1392,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,15,1015,0,88.285,88.285,4001,8.84,5,19.51,4.12,15.49,11.15,21,3.48,1144,349.7378,9.285,8,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,16,1016,0,83,83,4079,28.21,5,54.62,14.59,15.64,11.03,20.78,3.59,332,1228.6145,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,16,1016,0,92.345,92.345,4079,8.55,5,17.27,3.37,15.64,11.03,20.78,3.59,1208,337.6656,9.345,8,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,17,1017,0,82,82,4089,28.59,7.82,56.08,15.11,15.63,11.05,21.05,3.52,328,1246.6463,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,17,1017,0,91.33,91.33,4089,8.35,5,16.37,3.47,15.63,11.05,21.05,3.52,1192,343.0369,9.33,8,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,18,1018,0,81,81,4058,28.84,5.58,64.62,15,15.61,11.11,21.06,3.54,324,1252.4691,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,18,1018,0,90.315,90.315,4058,8.73,5,19.91,3.83,15.61,11.11,21.06,3.54,1176,345.068,9.315,8,0,0,6,0.45,0.35,0.2,4
S3,BASELINE,19,1019,0,81,81,4038,28.17,7.59,59.26,14.67,15.59,11.16,21,3.54,324,1246.2963,0,0,,,6,0.45,0.35,0.2,4
S3,SAMCS,19,1019,0,90.315,90.315,4038,8.08,5,17.17,3.17,15.59,11.16,21,3.54,1176,343.3673,9.315,8,0,0,6,0.45,0.35,0.2,4
